name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,public,registered_zip_state_validation,physical_zip_state_validation
"""2 OR 3 GATHERED TOGETHER""",NONPROFIT,NY,18 TURNER PL,BROOKLYN,11218,,,,,1819289,N,valid,missing
"""2"" S. B.W. & ASSOCIATES INC.",CORPORATION,FL,155 US HWY 27 SOUTH,SOUTH BAY,33493,FL,155 US HWY 27 SOUTH,SOUTH BAY,33493,P99000051519,N,valid,valid
"""2""? TWO PRODUCTIONS,LLC",LLC,FL,511 UPTAIN RD,QUINCY,32352,FL,511 UPTAIN RD,QUINCY,32352,L19000243759,N,valid,valid
"""20 MINUTES TO FITNESS, LLC.""",LLC,MO,130 S BEMISTON STE 101,CLAYTON,63105,,,,,LC0071336,,valid,missing
"""2000"" JAY TRUCKING CORP.",CORPORATION,NY,39-06 64 ST,BROOKHAVEN,11377,,,,,1887475,N,valid,missing
"""21 BELOW LTD""",CORPORATION,OH,,,,,,PATASKALA,,2025135,N,missing,missing
"""21"" CLUB",CORPORATION,WA,21615 SE 272ND LN,MAPLE VALLEY,98038,WA,21615 SE 272ND LN,MAPLE VALLEY,98038,601622978,N,valid,valid
"""22"" SCOOTER & CAMPER SALES",CORPORATION,PA,,,,,3967 WILLIAM PENN HWY,MURRYSVILLE,,2507385,,missing,missing
"""2637"" LLC.",LLC,FL,2144 LINCOLN ST,HOLLYWOOD,33020,FL,640 SEA TURTLE WY,PLANTATION,33324,L05000059910,N,valid,valid
"""2851"" LLC.",LLC,FL,2144 LINCOLN ST,HOLLYWOOD,33020,FL,640 SEA TURTLE WY,PLANTATION,33324,L05000059919,N,valid,valid
"""29 UNIFORM, INC.""",CORPORATION,FL,170 NW SPANISH RVR BLVD,BOCA RATON,33431,FL,170 NW SPANISH RVR BLVD STE 101,BOCA RATON,33431,F00000007132,N,valid,valid
"""2MT TRUCKING, LLC.""",LLC,MT,,,59353,,,,,C168950,N,valid,missing
"""2ND"" CHANCE, INC.",NONPROFIT,AL,,ANNISTON,,,,,,065-610,N,missing,missing
"""3"" K FARMS INC",CORPORATION,IN,4422 N 400 E,GREENFIELD,46140,IN,4207 N 400 E,GREENFIELD,46140,198101-770,N,valid,valid
"""3"" RIVERS POTATO SERVICES, INC.",CORPORATION,WA,1911 SELPH LNDG RD,PASCO,99301,WA,1911 SELPH LNDG RD,PASCO,99301,600305075,N,valid,valid
"""3"" RIVERS, INC.",CORPORATION,FL,4345 JACKSON VW DR,TALLAHASSEE,32303,FL,4345 JACKSON VW DR,TALLAHASSEE,32303,444491,N,valid,valid
"""3/21"" TRUCKING INC.",CORPORATION,CA,"3303 S ARCHIBALD AVE, APT 253",ONTARIO,91761,CA,"3303 S ARCHIBALD AVE, APT 253",ONTARIO,91761,C4673450,N,valid,valid
"""30/30 PROPERTIES LP""",PARTNERSHIP,IN,"1280 S WILLIAMS DRIVE, PO BOX 169",COLUMBIA CITY,46725,IN,"1280 S WILLIAMS DRIVE, PO BOX 169",COLUMBIA CITY,46725,LP94040029,N,valid,valid
"""303"" CUSTOM RENOVATIONS LLC",LLC,CO,5123 S OURAY CT,CENTENNIAL,80015,CO,5123 S OURAY CT,CENTENNIAL,80015,20151073599,N,valid,valid
"""33"" ESTATES, LLC",CORPORATION,OH,,,,,,HINCKLEY,,1407213,N,missing,missing
"""3D MACHINING AND FABRICATION""",DBA,OH,,,,,,LITHOPOLIS,,1300568,N,missing,missing
"""3RD FRIDAY DANCE""",CORPORATION,WA,936 DANIELS DR,FIRCREST,98466,WA,936 DANIELS DR,FIRCREST,98466,604445263,N,valid,valid
"""47"" ALUMNI ASSOCIATION OF THE DEAF, INC.",NONPROFIT,NY,225 EAST 23RD ST RM 128,NEW YORK,10010,,,,,2048973,N,valid,missing
"""47"" JUNIOR JENK'S. LIMITED",CORPORATION,OH,,,,,,CLEVELAND,,4679535,N,missing,missing
"""49TH PARALLEL ENTERPRISES LLC""",LLC,MT,,,59919,MT,159 8TH ST WEST,HUNGRY HORSE,59919,C271980,N,valid,valid
"""4CS"" CLEANING SERVICE ""LLC""",LLC,FL,1001 GRN PNE BLVD,WEST PALM BEACH,33409,FL,1001 GRN PNE BLVD,WEST PALM BEACH,33409,L14000092499,N,valid,valid
"""4J CONSULTING, INC.""",CORPORATION,MT,1308 S 2ND ST W,BAKER,,,3614 HWY 7,NORTH BAKER,,D224215,,missing,missing
"""4J CONSULTING, INC.""",CORPORATION,MT,,,59313,MT,3614 HWY 7 NORTH,BAKER,59313,D224215,N,valid,valid
"""5 FIVE SHORE LOUNGE"" LTD",CORPORATION,OH,,,,,,CLEVELAND,,4674711,N,missing,missing
"""500 RANGELINE ROAD, LLC""",LLC,IN,"8888 KEYSTONE CROSSING, STE 800",INDIANAPOLIS,46240,IN,"C/O JEFFREY A ADAMS, 8888 KEYSTONE XING BLVD, STE 800",INDIANAPOLIS,46240,2006102700499,N,valid,valid
"""57"" THE CHIC BOUTIQUE, LLC.",LLC,CT,,,,CT,57 BANK ST,NEW MILFORD,06776,714545,N,missing,valid
"""5TH AVENUE SOUTH REALTY"", ""LLC.""",LLC,FL,1088 WISCONSIN DR,NAPLES,34103,FL,1088 WISCONSIN DR,NAPLES,34103,L16000212216,N,valid,valid
"""61-05 32ND AVE, CORP.""",CORPORATION,NY,61-05 32ND AVE,WOODSIDE,11377,NY,61-05 32ND AVE,WOODSIDE,11377,3511319,N,valid,valid
"""7 SEAS"" SEAFOOD MARKET LLC",LLC,FL,29134 SW 134 PATH,HOMESTEAD,33033,FL,29134 SW 134 PATH,HOMESTEAD,33033,L16000047860,N,valid,valid
"""7"" C'S LAUNDROMAT CORP.",CORPORATION,NY,350 COMMACK RD,COMMACK,11725,,,,,445952,N,valid,missing
"""71"" VETERANS NEVER LEFT BEHIND INC",NONPROFIT,GA,2230 CAIN CMNS DR,DACULA,30019,GA,2230 CAIN CMNS DR,DACULA,30019,20049235,N,valid,valid
"""721, LLC""",LLC,FL,183 NE 110 ST,MIAMI SHORES,33161,FL,183 NE 110 ST,MIAMI SHORES,33161,L09000110460,N,valid,valid
"""74"" CLUB, LLC.",CORPORATION,OH,,,,,,SAINT HENRY,,1466686,N,missing,missing
"""76"" ARMS & AMMO, LLC",LLC,NY,213 CHURCH ST ER,RANDOLPH,14772,,,,,5111590,N,valid,missing
"""850"" FENCING & REMODEL LLC",LLC,FL,2007 PRICHARD ST,PANAMA CITY,32405,FL,2007 PRITCHARD ST,PANAMA CITY,32405,L18000274711,N,valid,valid
"""9 IRISH BROTHERS - WEST SIDE""",LLC,IN,2008 S 250 W,WESTPOINT,47992,IN,2008 S 250 W,WESTPOINT,47992,2005072100358,N,valid,valid
"""9 IRISH BROTHERS EAST""",LLC,IN,2008 S 250 W,WESTPOINT,47992,IN,2008 S 850 W,WESTPOINT,47992,2008082500402,N,valid,valid
"""9 IRISH BROTHERS""",LLC,IN,2008 S 250 W,WESTPOINT,47992,IN,2008 S 850 W,WESTPOINT,47992,2008082500402,N,valid,valid
"""9"" ALIVE",CORPORATION,PA,,,,PA,500 BEAR VLY AVE APT 3,SHAMOKIN,,2354973,,missing,missing
"""93"" AUTO SALES, INC.",CORPORATION,OH,,,,OH,,WELLSTON,,1010117,N,missing,missing
"""@6"" @DOPTION @ND @WARENESS @GAINST @NIMAL @BUSE, INC.",NONPROFIT,PA,,,,,549 GRN GRV RD,SCOTT TOWNSHIP,,3994792,,missing,missing
"""A & T CONSTRUCTION AND REMODELING LLC""",LLC,FL,328 COX RD,SANTA ROSA BEACH,32459,FL,328 COX RD,SANTA ROSA BEACH,32459,L20000086224,N,valid,valid
"""A 'NEW'-NEW BEGINNING"", INC.",NONPROFIT,NY,1272 BLAKE AVE,BROOKLYN,11208,,,,,1841065,N,valid,missing
"""A 1"" ABOVE PROPERTIES, LLC",LLC,FL,19441 NW 1ST PL,MIAMI,33169,FL,828 NW 96TH ST,MIAMI,33150,L16000199176,N,valid,valid
"""A AND A"" INSURANCE AGENCY, INC.",CORPORATION,GA,5052 AUDLEY LN,PEACHTREE CORNERS,30092,GA,5052 AUDLEY LN,NORCROSS,30092,K806301,N,valid,valid
"""A BETTER LIFE"" THROUGH PSYCHOLOGICQAL SERVICES P.C.",CORPORATION,NY,6165 JERICHO TPKE,COMMACK,11725,,,,,1233644,N,valid,missing
"""A BODY OF WISDOM"" NATURAL FAMILY MEDICINE, LLC",LLC,OR,,,,OR,119 NE 3RD ST,GRESHAM,97030,31929292,N,missing,valid
"""A CALMING TOUCH"", LLC",LLC,CT,,,,CT,945 QUEEN ST,SOUTHINGTON,06489,1140761,N,missing,valid
"""A CHANGED LIFE"" HOLISTIC HEALING AND LIFE GUIDANCE INC.",CORPORATION,NY,1057 E 214 ST,BRONX,10469,,,,,4686759,N,valid,missing
"""A CHILD LIVES""",NONPROFIT,OH,,,,OH,,DUBLIN,,1954207,N,missing,missing
"""A COMMUNITY OF FAITH """,NONPROFIT,OR,,,,OR,1305 5TH ST,SPRINGFIELD,97477,5765912,N,missing,valid
"""A COMPANY CALLED"" CULTURE, LLC",LLC,NY,620 LENOX AVE #1S,NEW YORK,10037,,,,,5149616,N,valid,missing
"""A CRAFTER'S TOUCH LLC""",LLC,FL,691 BLUEFIELDS ST SE,PALM BAY,32909,FL,691 BLUEFIELDS ST SE,PALM BAY,32909,L21000197228,N,valid,valid
"""A CRY FOR THE CHILDREN"" DAY CARE CENTER",NONPROFIT,NY,1137-45 PROSPECT AVE,BRONX,10459,,,,,2439212,N,valid,missing
"""A CUP ABOVE, LLC""",LLC,MO,5166 N CORRINGTON AVE,KANSAS CITY,64119,,,,,LC0711443,,valid,missing
"""A CUT ABOVE"" REMODELING, LLC",LLC,CO,14803 ROSLYN WY,THORNTON,80602,CO,14803 ROSLYN WY,THORNTON,80602,20151027243,N,valid,valid
"""A GREATER TOMORROW COUNSELING"", LLC",LLC,FL,4640 NW 66TH DR,CORAL SPRINGS,33067,FL,4640 NW 66TH DR,CORAL SPRINGS,33067,L21000333139,N,valid,valid
"""A MEAL WITH STINE"", LLC",LLC,GA,"3819, DERRINGER RDG",LOGANVILLE,30052,GA,3819 DERRINGER RDG,LOGANVILLE,30052,07090753,N,valid,valid
"""A MOMENT IN TIME"" STUDIO",DBA,OH,,,,,,CINCINNATI,,1271882,N,missing,missing
"""A NAIL IN TIME"" LLC.",LLC,OR,,,,OR,POST BOX 173,LAKESIDE,97449,144289998,N,missing,valid
"""A NEW BEGINNING"" FULL GOSPEL CHURCH",NONPROFIT,OH,,,,OH,,POMEROY,,1661731,N,missing,missing
"""A NURSING CONNECTION, LLC""",LLC,FL,10641 AIRPORT-PULLING RD,NAPLES,34109,FL,10641 AIRPORT-PULLING RD,NAPLES,34109,L12000142401,N,valid,valid
"""A PLACE TO CALL HOME"" PROPERTY RENTALS, LLC",CORPORATION,OH,,,,,,MONCLOVA TOWNSHIP,,1525143,N,missing,missing
"""A PLACE TO CALL MY HOME""",DBA,OH,,,,,,CINCINNATI,,2209954,N,missing,missing
"""A PLUS"" ACCOUNTING SOLUTIONS, LLC",CORPORATION,OH,,,,,,BROADVIEW HEIGHTS,,1643801,N,missing,missing
"""A PLUS"" CONCRETE & EXCAVATION, LLC",CORPORATION,OH,,,,,,CUYAHOGA FALLS,,LL8621,N,missing,missing
"""A QUALITY"" CONTRACTOR LLC",LLC,CO,1815 PEJN AVE,COLORADO SPRINGS,80904,CO,1815 PEJN AVE,COLORADO SPRINGS,80904,20141546311,N,valid,valid
"""A S A P"" ABOVE GROUP POOL INSTALLATIONS, LLC",LLC,PA,,,,,2637 EDDINGTON AVE,BENSALEM,,3699836,,missing,missing
"""A TASTE OF DUBLIN, INC.""",NONPROFIT,GA,787 OLD MACON RD,DUBLIN,31021,GA,POST OFC BOX 1647,DUBLIN,31040,08018988,N,valid,valid
"""A THING OF BEAUTY,"" COMMERCIAL ART GALLERY, INC.",CORPORATION,OH,,,,OH,,CLEVELAND,,825674,N,missing,missing
"""A TIME TO HEAL"" - CHRISTIAN COUNSELING SERVICES, LLC",CORPORATION,OH,,,,,,DAYTON,,2058795,N,missing,missing
"""A TO Z ROASTERS"" LLC",LLC,NY,241-20 NORTHERN BLVD,DOUGLASTON,11362,,,,,4728597,N,valid,missing
"""A TO Z"" RESTORATION ENVIRONMENTAL CONTRACTOR, INC.",CORPORATION,NY,"40-45 99TH STREET, #1R",CORONA,11368,NY,40-45 99 ST STE 1-R,CORONA,11368,3444831,N,valid,valid
"""A TOUCH EXTRA CATERING""",DBA,OH,,,,,,LIBERTY TOWNSHIP,,4420045,N,missing,missing
"""A UNIQUE TASTE IN A SHELL"" ""LLC""",LLC,FL,1405 NW 9TH ST,OCALA,34475,FL,1405 NW 9TH ST,OCALA,34475,L17000160581,N,valid,valid
"""A VOTRE SERVICE"" HOSPITALITY CONSULTING LLC.",LLC,CO,23871 CALDWELL CT,EVERGREEN,80439,CO,23871 CALDWELL CT,EVERGREEN,80439,20041048887,N,valid,valid
"""A""",CORPORATION,PA,,,,PA,1024 COTTMAN ST,PHILADELPHIA,,1044597,,missing,missing
"""A"" ALL IN ONE RESTORATION & SERVICES LLC",LLC,FL,831 OGNON CT,KISSIMMEE,34759,FL,831 OGNON CT,KISSIMMEE,34759,L19000017462,N,valid,valid
"""A"" - PLUS DRIVER IMPROVEMENT SCHOOL, INC.",CORPORATION,VA,,,,VA,8211 BEVLYNN WY,HENRICO,23229,04460929,N,missing,valid
"""A"" 1ST CLASS VALET SERVICES, LLC",CORPORATION,OH,,,,,,RICHMOND HEIGHTS,,2113383,N,missing,missing
"""A"" AUTO TAGS",CORPORATION,PA,,,,,6915 NEW FLS RD,LEVITTOWN,,2734626,,missing,missing
"""A"" BBS BILLING, LLC",LLC,GA,288 LAWRENCE ST,MARIETTA,30060,GA,9400 RESORT CIR,GAINESVILLE,30506,18103613,N,valid,valid
"""A"" BEST BRICK PAVERS LLC",LLC,FL,226 HBR PT BLVD,ORLANDO,32835,FL,226 HBR PT BLVD,ORLANDO,32835,L14000027330,N,valid,valid
"""A"" BEST CONSTRUCTION SERVICES, INC.",CORPORATION,NY,7 PAYNE AVE,NORTH TONAWANDA,14120,NY,THOMAS E ARIDA 7 PAYNE AVE,NORTH TONAWANDA,14120,2877792,N,valid,valid
"""A"" BROADWAY LLC",LLC,NY,750 LEXINGTON AVE STE 600,NEW YORK,10022,,,,,2283198,N,valid,missing
"""A"" BUILDING COMPANY, INC.",CORPORATION,VA,,,,VA,1657 WICKLIFFE RD,BERRYVILLE,22611,03769809,N,missing,valid
"""A"" CAB CO., INC.",CORPORATION,NY,115 SO WARREN ST,SYRACUSE,,,,,,2832606,N,missing,missing
"""A"" CAFE, LLC",LLC,NY,342 MAIN ST,FARMINGDALE,11735,,,,,2551582,N,valid,missing
"""A"" CASEY LANDSCAPE, LLC",LLC,FL,388 BRIARWOOD RD,VENICE,34293,FL,388 BRIARWOOD RD,VENICE,34293,L20000103417,N,valid,valid
"""A"" COMPANY, INC.",CORPORATION,ID,711 CAPITOL WY S STE 204,OLYMPIA,98501,MA,118 FLANDERS RD,WESTBOROUGH,01581,602794393,N,invalid,valid
"""A"" COMPREHENSIVE COUNSELING CENTER LLC.",LLC,NY,800 WOODBURY RD / STE I,WOODBURY,11797,,,,,2176992,N,valid,missing
"""A"" COMPREHENSIVE COUNSELING, PSYCHOLOGY & LMSW, PLLC",LLC,NY,98-120 QUEENS RD APT 1-C,REGO PARK,11374,,,,,3571960,N,valid,missing
"""A"" CUP SPECIALTY COFFEE, LLC",LLC,MO,5130 OLD LEMAY FRY RD,IMPERIAL,63052,,,,,LC0594689,,valid,missing
"""A"" CYPTO & MINING, LLC",LLC,ND,,,,,,,,0005670088,,missing,missing
"""A"" EXTERMINATORS, INC",CORPORATION,PA,52 ROCKY POOL LN,LEVITTOWN,,,52 ROCKY POOL LN,LEVITTOWN,,753602,,missing,missing
"""A"" FINANCIAL & INVESTMENTS, LLC",LLC,ND,,,,,,,,0005661307,,missing,missing
"""A"" FOOD CORP.",CORPORATION,NY,134 WEST HLS RD,OFFICER,11787,NY,134 WEST HLS RD,HUNTINGTON STATION,11746,1219548,N,valid,valid
"""A"" HEATING & COOLING LLC",LLC,MO,338 SHADY DR,BRANSON,65616,,,,,LC0656983,,valid,missing
"""A"" LAWN SMITH INC",CORPORATION,FL,1143 WOODSIDE DR,HOLLY HILL,32117,FL,1143 WOODSIDE DR,HOLLY HILL,32117,P09000098703,N,valid,valid
"""A"" LIFE CONSULTING, LLC",LLC,MO,3500 MAGNOLIA AVE,SAINT LOUIS,63118,,,,,LC001676036,,valid,missing
"""A"" LIFE PROPERTIES LLC",LLC,GA,"6851 ROSWELL RD, UNIT L-17",ATLANTA,30328,GA,"6851 ROSWELL RD, UNIT L-17",ATLANTA,30328,18032380,N,valid,valid
"""A"" LIMOUSINE",CORPORATION,PA,,,,,52 HUCKLEBERRY LN,LEVITTOWN,,2865538,,missing,missing
"""A"" LIST ENTERPRISES INC.",CORPORATION,NY,100 QUENTIN ROOSEVELT BLVD STE 106,GARDEN CITY,11530,,,,,3436419,N,valid,missing
"""A"" LIST HOME SOLUTIONS LLC",LLC,FL,7000 APPLEBY DR,NAPLES,34104,AL,7000 APPLEBY DR,NAPLES,34104,L19000170010,N,valid,invalid
"""A"" MAJOR INC.",CORPORATION,PA,,,,,5838 WASHINGTON AVE,PHILADELPHIA,,3953381,,missing,missing
"""A"" MEDICAL OFFICE, PLLC",LLC,NY,1701 AVE P,BROOKLYN,11229,,,,,2972043,N,valid,missing
"""A"" MOSES PLACE, LLC",LLC,MO,908 WEST 45TH ST,KANSAS CITY,64111,,,,,LC1388200,,valid,missing
"""A"" OK RESTORATION, LLC",LLC,MO,1009 NE 73RD TERR,GLADSTONE,64118,,,,,LC0951453,,valid,missing
"""A"" PARADISE REAL ESTATE MANAGEMENT LLC",LLC,GA,810 CARLISLE CLB DR,STONE MOUNTAIN,30083,GA,PO BOX 1454,REDAN,30074,09085245,N,valid,valid
"""A"" PLUS INVESTMENT SYSTEMS, LLC",LLC,CO,2056 VINEYARD DR,WINDSOR,80550,CO,2056 VINEYARD DR,WINDSOR,80550,20061151762,N,valid,valid
"""A"" PRODUCTIONS INC.",CORPORATION,NY,460 PARK AVE,NEW YORK,10022,,,,,2286664,N,valid,missing
"""A"" QUALITY COMPLETE CHIMNEY SERVICE, LLC",LLC,PA,,,,,515 MAPLE GRV RD,BELLEVILLE,,3977108,,missing,missing
"""A"" RATED FINANCIAL AND STAFFING SERVICES LLC",LLC,GA,2893 KAREN RD,COLLEGE PARK,30337,GA,2893 KAREN RD,COLLEGE PARK,30337,16051955,N,valid,valid
"""A"" ROOTER CONTRACTORS INC.",CORPORATION,FL,5701 SW 117 AVE,MIAMI,33183,FL,5701 SW 117 AVE,MIAMI,33183,P13000081023,N,valid,valid
"""A"" ROOTER INC.",CORPORATION,FL,5701 SW 117 AVE,MIAMI,33183,FL,5701 SW 117 AVE,MIAMI,33183,P12000000046,N,valid,valid
"""A"" SQUARED LAWN CARE LLC",CORPORATION,OH,,,,,,FAIRBORN,,2181986,N,missing,missing
"""A"" STREET COLLISION INC.",CORPORATION,OR,,,,OR,3445 MAIN ST,SPRINGFIELD,97478,23728686,N,missing,valid
"""A"" STREET PROPERTIES OF NORTHWEST FLORIDA, INC.",CORPORATION,FL,"17 W CEDAR STREET, STE 2",PENSACOLA,32502,FL,"17 W CEDAR STREET, STE 2",PENSACOLA,32502,P03000072248,N,valid,valid
"""A"" STREET PROPERTIES, LLC",LLC,WA,215 ENCHANTED FRST RD,EASTSOUND,98245,WA,215 ENCHANTED FRST RD,EASTSOUND,98245,603252416,N,valid,valid
"""A"" SUITE GIFT SHOPPE LLC",LLC,IN,3741 W 800 N,COLUMBIA CITY,46725,IN,3741 W 800 N,COLUMBIA CITY,46725,2013091800023,N,valid,valid
"""A"" SYSTEM HYDRAULICS, INC.",CORPORATION,FL,12942 SW 26 ST,DAVIE,33325,FL,7885-7889 NW 56TH ST,DORAL,33166,P95000015931,N,valid,valid
"""A"" TEAM REALTY LLC",LLC,IN,635 E 660 N,FREMONT,46737,IN,635 E 660 N,FREMONT,46737,201812191294739,N,valid,valid
"""A"" TEAM, INC",CORPORATION,CO,236 OAKLAND,AURORA,80010,CO,236 OAKLAND,AURORA,80010,19931016065,N,valid,valid
"""A"" THOROUGH HOME INSPECTION SERVICE, INC.",CORPORATION,NY,90 KENNEDY CT,LANCASTER,14086,,,,,3878138,N,valid,missing
"""A"" TRAVEL AGENCY, INC.",CORPORATION,OH,,,,OH,,OBERLIN,,877365,N,missing,missing
"""A"" VISTA GENERAL CONTRACTING INC.",CORPORATION,NY,192 WRIGHTS LN,OCEANSIDE,11572,NY,192 WRIGHTS LN,OCEANSIDE,11572,3112480,N,valid,valid
"""A"" YOUR TOWN CHIMNEY INC.",CORPORATION,WA,2126 E ST,WASHOUGAL,98671,WA,2126 E ST,WASHOUGAL,98671,601897997,N,valid,valid
"""A""' GAME FITNESS & PERFORMANCE LLC",LLC,PA,,,,,302 E EVERGREEN AVE,PHILADELPHIA,,4217878,,missing,missing
"""A""QUIPMENT REPAIRS & THE HOOD CLEANERS. LLC",LLC,NY,10462 GLENWOOD RD RTE 240,GLENWOOD,14069,,,,,3433355,N,valid,missing
"""A-1"" OFFICE FURNITURE COMPANY",CORPORATION,OH,,,,OH,,AKRON,,980590,N,missing,missing
"""A-5-6-7-8"", INC.",CORPORATION,NY,305 MADISON AVE STE 2300,NEW YORK,10165,NY,1 SHERIDAN SQ #6B,NEW YORK,10014,2069643,N,valid,valid
"""A-LIST"" LOCATION SOLUTIONS LLC",LLC,NY,"191 BROADWAY, 6C",DOBBS FERRY,10522,,,,,5488124,N,valid,missing
"""A-MAES-ING"" LANDSCAPE & GROUNDS MAINTENANCE",LLC,CO,595 N WESTGATE DR,GRAND JUNCTION,81505,CO,2981 BROOKSIDE DR,GRAND JUNCTION,81504,20131472479,N,valid,valid
"""A-PLUS CARE"" SUPPORTED LIVING AGENCY LLC",CORPORATION,OH,,,,,,NILES,,3995401,N,missing,missing
"""A-PLUS PREFERRED COVERAGE"" INSURANCE BROKERAGE, INC.",CORPORATION,NY,63-62 SAUNDERS ST 2ND FL,REGO PARK,11374,NY,63-62 SAUNERS ST 2ND FLR,REGO PARK,11374,2848925,N,valid,valid
"""A-VET ROOFING & CONSTRUCTION, LLC.""",LLC,GA,56 GRN ST,WARNER ROBINS,31093,GA,56 GRN ST,WARNER ROBINS,31093,08028272,N,valid,valid
"""A. C. DELLOVADE, INC.""",CORPORATION,PA,,,,,,CLEVELAND,,620497,N,missing,missing
"""A. H. DENNY INC.""",CORPORATION,NY,52 PARK PL,NEW YORK,10007,,,,,3984,N,valid,missing
"""A.N.B.A. LLC""",LLC,CT,,,,CT,929 WHITE PLNS RD,TRUMBULL,06611,571010,N,missing,valid
"""AA"" LOCKSMITH INC.",CORPORATION,NY,1284 SUFFOLK AVE,BRENTWOOD,11717,NY,1284 SUFFOLK AVE,BRENTWOOD,11717,3121926,N,valid,valid
"""AA&E TRUCKING LIMITED",CORPORATION,OH,,,,,,MOUNT VERNON,,2391506,N,missing,missing
"""AAA"" AD-MAIL, INC.",CORPORATION,FL,810 SATURN ST,JUPITER,33477,FL,19149 SE SEA TURTLE CT 102A,TEQUESTA,33469,P96000018965,N,valid,valid
"""AAA"" HOME IMPROVEMENTS, INC.",CORPORATION,NY,"45 JOHN STREET, STE 711",NEW YORK,10038,,,,,2430665,N,valid,missing
"""ABBA"" OF THE LEBANON AREA",NONPROFIT,PA,,,,,,,,742846,,missing,missing
"""ABC"" LITTLE STAR DC INC.",CORPORATION,NY,2345 85TH ST,BROOKLYN,11214,NY,2345 85 ST,BROOKLYN,11214,3994423,N,valid,valid
"""ABLAZE INTERACTIONS, LLC""",LLC,GA,"3490 PIEDMONT ROAD, STE 650",ATLANTA,30305,GA,1714 WEST SUSSEX RD,ATLANTA,30306,13394152,N,valid,valid
"""ABODES""",CORPORATION,IN,"940 S CLARIZZ #25, APT 25",BLOOMINGTON,47401,IN,"940 CLARIZZ BLVD, APT 25",BLOOMINGTON,47401,197909-588,N,valid,valid
"""ABORIOUS, CO""",CORPORATION,OH,,,,OH,,CLEVELAND,,4334859,N,missing,missing
"""ABOUT THAT TOW LIFE"" LLC",LLC,CO,5532 SPOKED WHEEL DR,COLORADO SPRINGS,80923,CO,5532 SPOKED WHEEL DR,COLORADO SPRINGS,80923,20191406175,N,valid,valid
"""ABOVE ALL LOVE"" LLC",LLC,FL,19271 STERLING DR,CUTLER BAY,33157,FL,19271 STERLING DR,CUTLER BAY,33157,L14000147168,N,valid,valid
"""ABOVE THE REST"" BUCKET TRUCK SERVICES LLC",LLC,FL,18237 211TH RD,LIVE OAK,32060,FL,18237 211TH RD,LIVE OAK,32060,L13000145684,N,valid,valid
"""ABOVE THE WELLNESS LINE""",DBA,ND,,,,,,,,0000266195,,missing,missing
"""ABSOLUTE BLACK""",DBA,OH,,,,,,OLMSTED TOWNSHIP,,2140349,N,missing,missing
"""ABSOLUTE BROWN""",DBA,OH,,,,,,HAMILTON,,2140328,N,missing,missing
"""ABSOLUTE RED""",DBA,OH,,,,,,DUBLIN,,2140350,N,missing,missing
"""ABUNDANT LIFE TABERNACLE OF MANSFIELD, OHIO INC.""",NONPROFIT,OH,,,,OH,,SPRINGFIELD TOWNSHIP,,350912,N,missing,missing
"""ACCELERATED PROPERTY MANAGEMENT SOLUTIONS LLC""",LLC,FL,5575 SW 198 TER,SOUTHWEST RANCHES,33332,FL,5575 SW 198 TER,SOUTHWEST RANCHES,33332,L16000217038,N,valid,valid
"""ACE IN THE HOLE"" SERVICES LLC",LLC,MO,"PO BOX 267, 367 CRABAPPLE RD",OZARK,65721,,,,,LC0531959,,valid,missing
"""ACE"" FREIGHT & DELIVERY SERVICES LLC",LLC,GA,1511 LINCOLN DR,BOGART,30622,GA,1511 LINCOLN DR,BOGART,30622,19130142,N,valid,valid
"""ADAMSON'S KARATE, ZIONSVILLE""",CORPORATION,IN,3276 EDEN WY CIR,CARMEL,46033,IN,1217 W OAK ST,ZIONSVILLE,46077,2002112500139,N,valid,valid
"""ADDICTIVE MINKS"" LLC",LLC,GA,5005 OAKLEY CMNS BLVD,UNION CITY,30291,GA,5005 OAKLEY CMNS BLVD,UNION CITY,30291,17031211,N,valid,valid
"""ADKINSFOREVERSAFESECURITY"" LLC",CORPORATION,OH,,,,,,HAMILTON,,2323916,N,missing,missing
"""ADP TOTALSOURCE SERVICES, INC.""",CORPORATION,NY,28 LIBERTY ST,NEW YORK,10005,FL,10200 SUNSET DR,MIAMI,33173,2094689,N,valid,valid
"""ADVENT"" MISSION, INC.",NONPROFIT,IN,"C/O DELI LEONID, 5 WINDHAM CT",BROWNSBURG,46112,IN,30 SHAW AVE,SILVER SPRING,20904,2000021800173,N,valid,invalid
"""ADVERSIGN, INC.""",CORPORATION,MO,325 SE ALEXANDRIA DR,LEE'S SUMMIT,64063,,,,,00119270,,valid,missing
"""AFRICAN & IMMIGRANT COMMUNITIES OF AMERICA, INC.""",NONPROFIT,GA,"5885 MEMORIAL DRIVE, STE B",STONE MOUNTAIN,30083,GA,"5885 MEMORIAL DR STE B, STE 230",STONE MOUNTAIN,30083,20127529,N,valid,valid
"""AFTER HOURS"" II LLC",CORPORATION,OH,,,,,,SPRINGBORO,,4738479,N,missing,missing
"""AGAPE"" V&N DAVIDHIZAR'S FOUNDATION",NONPROFIT,AK,206 W ROCKWELL AVE STE 100,SOLDOTNA,99669,AK,1240 CHINOOK DR,KENAI,99611,10022173,N,valid,valid
